condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
unseen,lotte_technology_search_100k,0.0,64,0.022544642857142857,1090.6875,0.0625,cluster_cold_no_feedback,0.0625,0.030776629820255245,unseen_tail,0.09375,17,0.09375,64
nearby,lotte_technology_search_100k,0.0,24,0.11041666666666666,1479.125,0.16666666666666666,cluster_cold_no_feedback,0.16666666666666666,0.1250959539541045,A_nearby,0.16666666666666666,19,0.16666666666666666,24
nearby,lotte_technology_search_100k,0.0,24,0.10416666666666667,1335.25,0.16666666666666666,cluster_cold_no_feedback,0.13541666666666666,0.10775352933502187,B_nearby,0.16666666666666666,19,0.16666666666666666,24
repeated,lotte_technology_search_100k,0.0,20,0.03333333333333333,1655.75,0.05,cluster_cold_no_feedback,0.05,0.03826803184943108,A_recurrent_return,0.05,19,0.05,20
repeated,lotte_technology_search_100k,0.0,20,0.058333333333333334,1250.4,0.1,cluster_cold_no_feedback,0.1,0.068925391487704,A_recurrent_warmup_1,0.15,19,0.15,20
repeated,lotte_technology_search_100k,0.0,20,0.14,1703.0,0.2,cluster_cold_no_feedback,0.16666666666666666,0.13942578558179228,A_recurrent_warmup_2,0.2,19,0.2,20
repeated,lotte_technology_search_100k,0.0,20,0.05555555555555555,1568.85,0.1,cluster_cold_no_feedback,0.1,0.06175227747072427,B_recurrent_shift_1,0.1,19,0.1,20
repeated,lotte_technology_search_100k,0.0,20,0.15218253968253967,1392.6,0.3,cluster_cold_no_feedback,0.235,0.16375780394288802,B_recurrent_shift_2,0.3,19,0.3,20
unseen,lotte_technology_search_100k,0.0,64,0.04327876984126984,1150.390625,0.09375,cluster_cold_no_feedback,0.08333333333333333,0.050626566735825704,unseen_tail,0.109375,19,0.109375,64
nearby,lotte_technology_search_100k,0.0,24,0.0763888888888889,1146.7083333333333,0.125,cluster_equal_noisy,0.09166666666666667,0.07110318494966886,A_nearby,0.125,13,0.20833333333333334,24
nearby,lotte_technology_search_100k,0.0,24,0.6354166666666666,1877.25,0.7916666666666666,cluster_equal_noisy,0.7041666666666667,0.6050971848758976,B_nearby,0.875,13,0.875,24
repeated,lotte_technology_search_100k,0.0,20,0.1,1223.15,0.1,cluster_equal_noisy,0.075,0.08154648767857288,A_recurrent_return,0.1,13,0.1,20
repeated,lotte_technology_search_100k,0.0,20,0.0,1148.35,0.0,cluster_equal_noisy,0.0,0.0,A_recurrent_warmup_1,0.0,13,0.0,20
repeated,lotte_technology_search_100k,0.0,20,0.05,1239.7,0.05,cluster_equal_noisy,0.025,0.031546487678572877,A_recurrent_warmup_2,0.1,13,0.1,20
repeated,lotte_technology_search_100k,0.0,20,0.7123412698412699,1688.8,0.9,cluster_equal_noisy,0.7916666666666666,0.6977154706768962,B_recurrent_shift_1,0.95,13,0.95,20
