hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.95_m6,3,calibration,11.309386534998357,1310.5549348230911
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.95_m7,3,calibration,11.309386534998357,1310.5549348230911
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.95_m8,3,calibration,10.96950381155098,1315.5772811918064
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.96_m4,3,calibration,10.401268290592798,1323.973929236499
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.96_m5,3,calibration,10.401268290592798,1323.973929236499
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.96_m6,3,calibration,10.401268290592798,1323.973929236499
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.96_m7,3,calibration,10.401268290592798,1323.973929236499
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.96_m8,3,calibration,10.129059657798472,1327.9962756052141
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.97_m4,3,calibration,9.698314700904472,1334.361266294227
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.97_m5,3,calibration,9.698314700904472,1334.361266294227
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.97_m6,3,calibration,9.698314700904472,1334.361266294227
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.97_m7,3,calibration,9.698314700904472,1334.361266294227
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.97_m8,3,calibration,9.627111979826319,1335.4134078212292
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.98_m4,3,calibration,9.360070270154479,1339.3594040968342
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.98_m5,3,calibration,9.360070270154479,1339.3594040968342
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.98_m6,3,calibration,9.360070270154479,1339.3594040968342
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.98_m7,3,calibration,9.360070270154479,1339.3594040968342
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.98_m8,3,calibration,9.331841226753575,1339.7765363128492
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.99_m4,3,calibration,8.841991710238958,1347.0148975791433
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.99_m5,3,calibration,8.841991710238958,1347.0148975791433
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.99_m6,3,calibration,8.841991710238958,1347.0148975791433
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.99_m7,3,calibration,8.841991710238958,1347.0148975791433
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.99_m8,3,calibration,8.841991710238958,1347.0148975791433
0.8733705772811918,1.3035381750465553,intentroute,token_budget_r1.00_m4,3,calibration,-2.1305366416763873,1509.1527001862196
0.8733705772811918,1.3035381750465553,intentroute,token_budget_r1.00_m5,3,calibration,-2.1305366416763873,1509.1527001862196
0.8733705772811918,1.3035381750465553,intentroute,token_budget_r1.00_m6,3,calibration,-2.1305366416763873,1509.1527001862196
0.8733705772811918,1.3035381750465553,intentroute,token_budget_r1.00_m7,3,calibration,-2.1305366416763873,1509.1527001862196
0.8733705772811918,1.3035381750465553,intentroute,token_budget_r1.00_m8,3,calibration,-2.1305366416763873,1509.1527001862196
