calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dense_same_action_test_hit_delta_pp,dense_same_action_test_saving_pct,is_original_split,scale,selected_policy,split_index,split_salt,test_hit_delta_max_seed_pp,test_hit_delta_mean_pp,test_hit_delta_min_seed_pp,test_point_noninferior_seeds_1pp,test_queries,test_saving_max_seed_pct,test_saving_mean_pct,test_saving_min_seed_pct
True,1.6759776536312887,179,16.819608295226022,-3.836930455635501,21.662796842716702,False,638k,token_budget_r0.85_m4,3,task65_5_calibration_sensitivity_v1_03,1.1990407673860837,-0.1598721023181482,-1.6786570743405282,2,417,16.717947611776797,16.597769933701983,16.528282583943344
True,0.9310986964618221,179,16.922718467446405,-2.877697841726623,21.582127521748628,False,638k,token_budget_r0.85_m4,4,task65_5_calibration_sensitivity_v1_04,1.6786570743405282,0.1598721023181445,-1.1990407673860948,2,417,17.18979209675212,16.548928723603296,16.099097980085432
True,0.18621973929236663,179,9.104154583905052,-1.4388489208633115,13.877321040643464,False,638k,token_budget_r0.95_m4,5,task65_5_calibration_sensitivity_v1_05,3.3573141486810565,2.0783373301358896,0.7194244604316502,3,417,8.21392600443418,7.853988127636684,7.271702817411729
True,0.18621973929237035,179,12.855781723689905,-2.3980815347721895,18.16323045095094,False,638k,token_budget_r0.85_m8,6,task65_5_calibration_sensitivity_v1_06,1.918465227817745,1.0391686650679428,0.47961630695443347,3,417,13.147794871133843,12.675006391210841,12.028957018838483
True,1.3035381750465556,179,15.007946415590013,-2.877697841726623,21.797827212231525,False,638k,token_budget_r0.85_m4,7,task65_5_calibration_sensitivity_v1_07,0.959232613908878,3.700743415417189e-15,-0.7194244604316502,3,417,17.92340060405303,17.344736660754638,16.850063964956842
True,0.744878957169463,179,16.639374361111944,-3.83693045563549,21.757863662689502,False,638k,token_budget_r0.85_m4,8,task65_5_calibration_sensitivity_v1_08,1.1990407673860948,0.23980815347722043,-0.47961630695443347,3,417,17.50136206177907,16.670439330620134,16.102770488297192
True,1.1173184357541963,179,18.515759502052703,-3.83693045563549,21.49769273070701,False,638k,token_budget_r0.85_m4,9,task65_5_calibration_sensitivity_v1_09,1.4388489208633004,0.07993605115906854,-1.1990407673860948,2,417,16.288922716441,15.827947048368976,15.182549233699682
True,2.7932960893854735,179,14.598225393984166,-4.556354916067152,21.871594735231092,False,638k,token_budget_r0.85_m4,10,task65_5_calibration_sensitivity_v1_10,-0.23980815347721673,-0.6394884092725817,-1.1990407673860948,2,417,17.73982246709519,17.46913580246913,17.23293541475359
True,0.3724394785847259,179,15.731292216236728,-3.1175059952038287,19.720436423067333,False,638k,token_budget_r0.88_m4,11,task65_5_calibration_sensitivity_v1_11,1.918465227817745,0.31974420463629266,-0.9592326139088669,3,417,13.579965142335448,13.10519438787344,12.779547616463539
True,0.18621973929237035,179,15.680943002439815,-2.637889688249395,21.873376475592398,False,638k,token_budget_r0.85_m4,12,task65_5_calibration_sensitivity_v1_12,1.4388489208633115,0.4796163069544372,0.0,3,417,17.9120946388183,17.080013037898322,16.373287794863423
True,1.303538175046548,179,16.48300273826221,-4.076738609112707,21.685801595923447,False,638k,token_budget_r0.85_m4,13,task65_5_calibration_sensitivity_v1_13,0.7194244604316613,7.401486830834377e-15,-1.1990407673860837,2,417,17.0620002969887,16.736354802489497,16.352041015701325
True,0.18621973929236663,179,18.232949125747226,-4.556354916067152,22.008109823100618,False,638k,token_budget_r0.85_m4,14,task65_5_calibration_sensitivity_v1_14,1.918465227817745,0.47961630695443347,-0.47961630695444457,3,417,16.137464596907748,16.0211825277679,15.87559778991845
True,0.9310986964618295,179,17.4424595958183,-3.83693045563549,22.264308346368278,False,638k,token_budget_r0.85_m4,15,task65_5_calibration_sensitivity_v1_15,0.47961630695443347,0.1598721023181445,-0.23980815347721673,3,417,16.676693538683672,16.302891749889703,15.8827257048891
True,0.9310986964618259,179,13.586588952299891,-2.877697841726612,21.973647348715254,False,638k,token_budget_r0.85_m4,16,task65_5_calibration_sensitivity_v1_16,0.7194244604316613,0.15987210231815188,-0.47961630695443347,3,417,18.24935805461527,17.913745860309998,17.633028573728147
True,3.351955307262574,179,16.909616497348775,-3.597122302158273,21.687964963280525,False,638k,token_budget_r0.85_m4,17,task65_5_calibration_sensitivity_v1_17,0.23980815347721673,-0.8792965627498021,-1.918465227817745,2,417,16.80084567000084,16.550105788350063,16.405552256579327
True,0.3724394785847259,179,16.736065079475527,-3.597122302158273,21.80073183612906,False,638k,token_budget_r0.85_m4,18,task65_5_calibration_sensitivity_v1_18,0.47961630695443347,0.3996802557953612,0.23980815347721673,3,417,16.785548122626558,16.629152729924805,16.337424238613785
True,0.37243947858473325,179,13.070911460562984,-1.918465227817745,16.182187335541222,False,638k,token_budget_r0.92_m4,19,task65_5_calibration_sensitivity_v1_19,3.1175059952038398,1.6786570743405282,0.7194244604316502,3,417,9.846142105104171,9.72483015532064,9.525134468652075
