seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,1,1,0.15330520393811534,109,1,0.6146272855133614,0.01,0,lotte_technology_search_100k_q9,1,0.567053688205699,3,hybrid_lite,1,1,1,711,dynamic_gated
13,1,1,1,0.1529051987767584,250,1,0.6140672782874618,0.01,1,lotte_technology_search_100k_q309,3,0.8725981898723443,3,linucb_primary,1,1,1,1635,dynamic_gated
13,1,1,1,0.10985915492957747,195,1,0.4997183098591549,0.01,1,lotte_technology_search_100k_q593,2,0.9747181952836,3,linucb_primary,1,1,1,1775,dynamic_gated
13,1,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q208,0,0.8565602143464014,3,linucb_primary,0,0,0,1688,dynamic_gated
13,1,1,1,0.0998439937597504,64,1,0.4914196567862714,0.01,1,lotte_technology_search_100k_q489,3,0.683011975217335,3,hybrid_lite,1,1,1,641,dynamic_gated
13,1,1,1,0.32432432432432434,312,1,0.528066528066528,0.01,0,lotte_technology_search_100k_q62,1,0.9660994319227075,3,linucb_primary,1,1,1,962,dynamic_gated
13,1,1,1,0.06445115810674723,64,1,0.473313192346425,0.01,1,lotte_technology_search_100k_q111,5,0.9565343611800969,3,linucb_primary,1,1,1,993,dynamic_gated
13,1,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q214,0,0.9627793030428095,3,linucb_primary,0,0,0,1317,dynamic_gated
13,1,1,1,0.3192488262910798,748,1,0.4233888177550149,0.01,1,lotte_technology_search_100k_q479,2,0.71348001856288,3,hybrid_lite,1,1,1,2343,dynamic_gated
13,1,1,1,0.24367436743674367,443,2,0.5676567656765676,0.01,0,lotte_technology_search_100k_q332,1,0.9549337044762473,3,linucb_primary,1,1,1,1818,dynamic_gated
13,1,1,1,0.10656620021528525,99,1,0.6135629709364909,0.01,1,lotte_technology_search_100k_q83,2,0.5574553595728505,3,hybrid_lite,1,1,1,929,dynamic_gated
13,1,1,1,0.3105263157894737,118,1,0.3526315789473684,0.01,0,lotte_technology_search_100k_q87,1,0.5969088300715738,3,hybrid_lite,1,1,1,380,dynamic_gated
13,1,1,1,0.4307233521945252,5633,2,0.525615537543967,0.01,1,lotte_technology_search_100k_q558,4,0.8581865712681085,3,linucb_primary,1,1,1,13078,dynamic_gated
13,1,0,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q155,0,0.5684082730345728,2,hybrid_lite,0,0,0,606,dynamic_gated
13,1,1,1,0.043922369765066395,43,1,0.5944841675178754,0.01,1,lotte_technology_search_100k_q404,4,0.474523008254095,3,hybrid_lite,1,1,1,979,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q47,0,0.639361425612944,2,hybrid_lite,0,0,0,844,dynamic_gated
